Year,Month,GMSL
1976,8,-23.5
1976,9,-22.2
1976,10,-22.6
1976,11,-19.7
1976,12,-19.5
1977,1,-20.9
1977,2,-23.6
1977,3,-25.4
1977,4,-27.6
1977,5,-27.1
1977,6,-26.5
1977,7,-25.5
1977,8,-24.8
1977,9,-23.8
1977,10,-23.1
1977,11,-21
1977,12,-18.3
1978,1,-15.7
1978,2,-12
1978,3,-13
1978,4,-13.3
1978,5,-17
1978,6,-18.5
1978,7,-19.9
1978,8,-18.3
1978,9,-18
1978,10,-17.7
1978,11,-22.2
1978,12,-25.2
1979,1,-28
1979,2,-26.9
1979,3,-25.8
1979,4,-26.1
1979,5,-27.5
1979,6,-27.1
1979,7,-24.7
1979,8,-19.9
1979,9,-17.3
1979,10,-14.9
1979,11,-17.2
1979,12,-15
1980,1,-15.2
1980,2,-14.1
1980,3,-16.1
1980,4,-15.8
1980,5,-16.1
1980,6,-16.7
1980,7,-19.2
1980,8,-21
1980,9,-21
1980,10,-19.2
1980,11,-14
1980,12,-9.9
1981,1,-7.8
1981,2,-6.8
1981,3,-5
1981,4,-4
1981,5,-2.7
1981,6,-2.2
1981,7,-3.9
1981,8,-3.1
1981,9,-4.1
1981,10,-2
1981,11,-2.9
1981,12,-4.4
1982,1,-8.2
1982,2,-9.3
1982,3,-10.6
1982,4,-13.1
1982,5,-13.5
1982,6,-14.7
1982,7,-15.8
1982,8,-14.4
1982,9,-10.3
1982,10,-4.7
1982,11,-2.1
1982,12,-1.6
1983,1,0.2
1983,2,-0.5
1983,3,1.1
1983,4,4.3
1983,5,7.5
1983,6,6
1983,7,1.8
1983,8,-5.9
1983,9,-6.7
1983,10,-9.7
1983,11,-6.8
1983,12,-8.9
1984,1,-7.5
1984,2,-6.3
1984,3,-3
1984,4,-2.2
1984,5,-1.2
1984,6,1
1984,7,0.6
1984,8,2
1984,9,-0.2
1984,10,-1.1
1984,11,-4.4
1984,12,-6.4
1985,1,-10.4
1985,2,-9.5
1985,3,-11.7
1985,4,-11.7
1985,5,-13.5
1985,6,-13.1
1985,7,-13.7
1985,8,-15.4
1985,9,-14.6
1985,10,-13.9
1985,11,-12.5
1985,12,-12.2
1986,1,-10.8
1986,2,-9.7
1986,3,-10.3
1986,4,-10.5
1986,5,-11.8
1986,6,-11
1986,7,-13.3
1986,8,-12.5
1986,9,-13.5
1986,10,-13.9
1986,11,-14.3
1986,12,-13.1
1987,1,-11.2
1987,2,-8.5
1987,3,-10.8
1987,4,-12.4
1987,5,-10.9
1987,6,-9.3
1987,7,-8.2
1987,8,-13.5
1987,9,-15.3
1987,10,-16.7
1987,11,-12.1
1987,12,-8.6
1988,1,-9.1
1988,2,-7.8
1988,3,-9.9
1988,4,-8.2
1988,5,-8.1
1988,6,-6.6
1988,7,-6.4
1988,8,-4.8
1988,9,-3.3
1988,10,-2.6
1988,11,-4.9
1988,12,-9.4
1989,1,-9.4
1989,2,-8
1989,3,-2.4
1989,4,-1.6
1989,5,-1.1
1989,6,-3
1989,7,-2.7
1989,8,-1
1989,9,0.3
1989,10,0.6
1989,11,1.1
1989,12,-0.6
1990,1,-0.2
1990,2,-2.6
1990,3,-4.4
1990,4,-3.9
1990,5,-4.1
1990,6,0
1990,7,-0.2
1990,8,2.8
1990,9,3
1990,10,3.8
1990,11,4.3
1990,12,1.6
1991,1,3
1991,2,3.7
